,category,scientific_name,common_names,conservation_status
0,Mammal,Canis latrans,Coyote,Species of Concern
1,Mammal,Canis lupus,Gray Wolf,Endangered
2,Mammal,Canis rufus,Red Wolf,Endangered
3,Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern
4,Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern
5,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
6,Mammal,Myotis grisescens,Gray Myotis,Endangered
7,Mammal,Myotis keenii,Keen's Myotis,Species of Concern
8,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
9,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern
10,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
11,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
12,Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
13,Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
14,Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
15,Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
16,Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
17,Bird,Circus cyaneus,Northern Harrier,Species of Concern
18,Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
19,Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
20,Bird,Cathartes aura,Turkey Vulture,Species of Concern
21,Bird,Pandion haliaetus,Osprey,Species of Concern
22,Bird,Aythya affinis,Lesser Scaup,Species of Concern
23,Bird,Chlidonias niger,Black Tern,Species of Concern
24,Bird,Larus atricilla,Laughing Gull,Species of Concern
25,Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
26,Bird,Falco columbarius,Merlin,Species of Concern
27,Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
28,Bird,Gavia immer,Common Loon,Species of Concern
29,Bird,Grus americana,Whooping Crane,Endangered
30,Bird,Rallus elegans,King Rail,Species of Concern
31,Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
32,Bird,Piranga rubra,Summer Tanager,Species of Concern
33,Bird,Certhia americana,Brown Creeper,Species of Concern
34,Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
35,Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
36,Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
37,Bird,Loxia curvirostra,Red Crossbill,Species of Concern
38,Bird,Progne subis,Purple Martin,Species of Concern
39,Bird,Riparia riparia,Bank Swallow,Species of Concern
40,Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
41,Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
42,Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
43,Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
44,Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
45,Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
46,Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
47,Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
48,Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
49,Bird,Ardea herodias,Great Blue Heron,Species of Concern
50,Bird,Botaurus lentiginosus,American Bittern,Species of Concern
51,Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern
52,Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
53,Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
54,Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
55,Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
56,Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
57,Bird,Asio flammeus,Short-Eared Owl,Species of Concern
58,Bird,Asio otus,Long-Eared Owl,Species of Concern
59,Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
60,Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
61,Reptile,Regina septemvittata,Queen Snake,Species of Concern
62,Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
63,Amphibian,Desmognathus wrighti,Pigmy Salamander,Species of Concern
64,Fish,Erimonax monachus,Spotfin Chub,Threatened
65,Fish,Hemitremia flammea,Flame Chub,Species of Concern
66,Fish,Etheostoma percnurum,Duskytail Darter,Endangered
67,Fish,Percina burtoni,Blotchside Darter,Species of Concern
68,Fish,Percina squamata,Olive Darter,Species of Concern
69,Fish,Noturus baileyi,Smoky Madtom,Endangered
70,Fish,Noturus flavipinnis,Yellowfin Madtom,Threatened
71,Vascular Plant,Tofieldia glabra,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern
72,Vascular Plant,Zizia trifoliata,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
73,Vascular Plant,Isotria medeoloides,Small Whorled Pogonia,Threatened
74,Vascular Plant,Parthenium integrifolium,"American Fever-Few, Wild Quinine",Species of Concern
75,Vascular Plant,Rugelia nudicaulis,Rugel's Ragwort,Species of Concern
76,Vascular Plant,Cardamine clematitis,"Mountain Watercress, Mountain Bitter Cress",Species of Concern
77,Vascular Plant,Silene ovata,"Mountain Catchfly, Rough-Leaved Campion",Species of Concern
78,Vascular Plant,Parnassia grandifolia,"Largeleaf Grass Of Parnassus, Large-Leaved Grass-Of-Parnassus",Species of Concern
79,Vascular Plant,Shortia galacifolia,Oconee Bells,Species of Concern
80,Vascular Plant,Monotropa uniflora,"Indian Pipe, Indian-Pipe",Species of Concern
81,Vascular Plant,Monotropsis odorata,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern
82,Vascular Plant,Vaccinium hirsutum,Hairy Blueberry,Species of Concern
83,Vascular Plant,Lysimachia fraseri,Fraser's Loosestrife,Species of Concern
84,Vascular Plant,Juglans cinerea,"Butternut, White Walnut",Species of Concern
85,Vascular Plant,Lilium grayi,Gray's Lily,Species of Concern
86,Vascular Plant,Trillium pusillum var. pusillum,Dwarf Wakerobin,Species of Concern
87,Vascular Plant,Euphorbia purpurea,Glade Spurge,Species of Concern
88,Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern
89,Vascular Plant,Carex communis var. amplisquama,Dixie Sedge,Species of Concern
90,Vascular Plant,Calamagrostis cainii,"Cain's Reed-Bent Grass, Cain's Reed-Grass",Species of Concern
91,Vascular Plant,Dichanthelium acuminatum var. acuminatum,Tapered Rosette Grass,Species of Concern
92,Vascular Plant,Glyceria nubigena,Smoky Mountain Mannagrass,Species of Concern
93,Vascular Plant,Poa paludigena,Bog Bluegrass,Species of Concern
94,Vascular Plant,Delphinium exaltatum,Tall Larkspur,Species of Concern
95,Vascular Plant,Geum radiatum,"Mountain Avens, Spreading Avens",Endangered
